,matchId,pos,position2,position3,position4,distance2,distance3,x_position4,y_position4
62333,2925620317,"[array([4598., 5945.]), array([3502., 6454.]), array([7438., 3424.]), array([5451., 5548.]), array([394., 461.]), array([2707., 8102.])]",[3502. 6454.],[7438. 3424.],[5451. 5548.],738.9993234097038,579.3271959782313,5451.0,5548.0
62705,2925622300,"[array([3300., 7883.]), array([3762., 6613.]), array([7286., 3379.]), array([6179., 1259.]), array([3519., 9494.]), array([5406., 5486.])]",[3762. 6613.],[7286. 3379.],[6179. 1259.],454.32697476597184,656.8386407634679,6179.0,1259.0
74511,2925684142,"[array([3471., 7724.]), array([3493., 6494.]), array([7566., 3950.]), array([1107., 1022.]), array([5933., 5126.]), array([4267., 7347.])]",[3493. 6494.],[7566. 3950.],[1107. 1022.],716.2995183580679,82.80096617793781,1107.0,1022.0
74887,2925685930,"[array([4889., 8397.]), array([3603., 6439.]), array([7722., 3808.]), array([4796., 5235.]), array([2344., 8446.]), array([8610., 2704.])]",[3603. 6439.],[7722. 3808.],[4796. 5235.],687.2626863143379,293.5097954072402,4796.0,5235.0
77313,2925698893,"[array([3499., 7803.]), array([3605., 6592.]), array([7742., 3705.]), array([1160.,  965.]), array([2282., 8311.]), array([10574.,  5489.])]",[3605. 6592.],[7742. 3705.],[1160.  965.],567.8811495374714,381.5612663780222,1160.0,965.0
77493,2925699858,"[array([3145., 7557.]), array([3693., 6522.]), array([7878., 3594.]), array([7125., 5316.]), array([2920., 1972.]), array([2448., 8304.])]",[3693. 6522.],[7878. 3594.],[7125. 5316.],568.0959426012475,554.7251571724506,7125.0,5316.0
77709,2925700977,"[array([3427., 7818.]), array([3683., 6387.]), array([7852., 3948.]), array([8659., 2440.]), array([3582., 6600.]), array([ 4006., 12617.])]",[3683. 6387.],[7852. 3948.],[8659. 2440.],690.1144832562203,355.8201793040974,8659.0,2440.0
79638,2925711072,"[array([3360., 7753.]), array([3514., 6473.]), array([8037., 3526.]), array([2094., 3787.]), array([7744., 3831.]), array([7528., 6214.])]",[3514. 6473.],[8037. 3526.],[2094. 3787.],716.8856254661548,716.2715965330469,2094.0,3787.0
80174,2925713897,"[array([962., 932.]), array([3596., 6601.]), array([7528., 3824.]), array([2663., 1837.]), array([8388., 6144.]), array([7564., 3139.])]",[3596. 6601.],[7528. 3824.],[2663. 1837.],567.8177524523163,178.2133552795637,2663.0,1837.0
80922,2925717874,"[array([3445., 8149.]), array([3841., 6363.]), array([7596., 3974.]), array([8516., 2652.]), array([8117., 7676.]), array([9174., 2127.])]",[3841. 6363.],[7596. 3974.],[8516. 2652.],656.5439817712139,99.45853407325085,8516.0,2652.0
81400,2925720635,"[array([3144., 7557.]), array([3456., 6560.]), array([7864., 3502.]), array([7375., 1490.]), array([4027., 6114.]), array([ 3402., 10087.])]",[3456. 6560.],[7864. 3502.],[7375. 1490.],699.6684929307593,616.8468205316454,7375.0,1490.0
