,pos,win
554,"[[5893,5225]]",1
555,"[[11074,4601]]",0
556,"[[3536,8313],[11119,6708]]",1
557,"[[2789,8059],[3673,10677]]",1
558,"[[5961,3478]]",0
559,"[[7576,5006],[11239,6196],[8443,6130]]",0
560,"[[3726,6409],[2988,10941]]",0
561,"[[8687,2456],[5723,8562]]",1
562,"[[3938,6194],[4800,6712]]",0
563,"[[8856,5582]]",1
564,"[[4809,8811]]",1
565,"[[9518,2534]]",1
566,"[[6882,4836],[7949,9415],[3236,6889]]",1
567,"[[3717,8606],[6827,9294]]",1
568,"[[12252,3233]]",1
569,"[[9344,5627]]",0
570,"[[7593,5186],[12715,6290],[7445,2973]]",1
571,"[[11957,5301]]",1
572,"[[4987,6002]]",0
573,"[[4788,7008]]",1
574,"[[3574,7698],[4000,12327]]",0
575,"[[8553,2457],[2660,5621]]",1
576,"[[13435,3234]]",0
577,"[[8299,7068]]",1
578,"[[8627,2497],[7784,5018]]",0
579,"[[6214,4930]]",1
580,"[[7118,4840],[11570,4133]]",1
581,"[[5717,9434]]",0
582,"[[5774,5310]]",1
583,"[[7531,5184],[3180,6867],[2883,12485]]",1
584,"[[8514,2603],[3750,10707]]",1
585,"[[6827,5277],[4190,7414],[5414,11275]]",0
586,"[[2517,13031]]",1
587,"[[6825,4716],[4386,9635],[3653,6496],[8474,2406]]",0
588,"[[5823,9121]]",0
589,"[[6928,4925],[3433,7898],[2892,12932]]",1
590,"[[8141,1781],[3985,9628],[7702,2496]]",1
591,"[[9238,2212]]",0
592,"[[8259,5352]]",1
593,"[[8275,2359],[3496,7722],[3738,9194]]",1
594,"[[9006,2590],[1612,3152]]",0
595,"[[2535,8324],[10012,6465]]",0
596,"[[6736,4729],[8150,8239]]",0
597,"[[8404,2615],[8176,10240]]",1
598,"[[3916,6602],[4417,7147]]",0
599,"[[7626,5142],[10517,5415],[9010,2404]]",0
600,"[[8004,2291],[5211,9355]]",0
601,"[[5668,5416]]",0
602,"[[7940,5280]]",1
603,"[[6796,5086],[5590,9025]]",1
604,"[[8852,6590]]",1
605,"[[6431,11185],[2024,8556]]",0
606,"[[2589,8400],[6067,12657]]",0
607,"[[7103,5254],[4573,5455]]",1
608,"[[5193,9189]]",0
609,"[[3716,8180],[7722,10913],[2736,12510]]",1
610,"[[2947,1362]]",0
611,"[[6703,4831],[7440,8590]]",0
612,"[[7948,6745]]",0
613,"[[6510,8481]]",1
614,"[[7566,9826],[2616,8302]]",0
615,"[[8388,2358],[11425,6666],[4883,7967]]",0
616,"[[5231,9199]]",0
617,"[[3059,7109]]",0
618,"[[8689,2407],[11164,6331],[11256,4481]]",0
619,"[[3471,6710],[7049,7573],[10349,2718]]",1
620,"[[11735,4032]]",1
621,"[[3895,6130],[6305,10110]]",1
622,"[[4774,7118]]",0
623,"[[6845,5249],[2813,8385],[8691,2369],[11006,3751]]",0
624,"[[5165,9143]]",0
625,"[[8574,2315],[394,461],[3008,12477]]",1
626,"[[7113,9666],[9913,5495]]",0
627,"[[8217,3497],[9585,5959]]",1
628,"[[8050,3429],[12379,6360]]",0
629,"[[6078,5056]]",0
630,"[[6958,5090],[8284,2310],[2205,8414]]",0
631,"[[7100,4890],[3346,8909]]",1
632,"[[8598,2639],[5940,9453]]",0
633,"[[8126,2414],[9179,5642]]",1
634,"[[8015,1917],[7278,6506],[11607,2082]]",0
635,"[[6749,11475],[2174,8581]]",0
636,"[[7089,4370]]",1
